"lesson_key","group","title","url"
126,"R Basics","Set up R","/sb-set-up-r/"
121,"Stats","Variables","/sb-variables/"
101,"R Basics","swirl Part 1 - Basic Building Blocks","/swirl-basic-building-blocks/"
102,"R Basics","swirl Part 2 - Workspace and Files","/swirl-workspace-and-files/"
103,"R Basics","swirl Part 3 - Sequences of Numbers","/swirl-sequences-of-numbers/"
104,"R Basics","swirl Part 4 - Vectors","/swirl-vectors/"
105,"R Basics","swirl Part 5 - Missing Values","/swirl-missing-values/"
106,"R Basics","swirl Part 6 - Subsetting Vectors","/swirl-subsetting-vectors/"
107,"R Basics","swirl Part 7 - Matrices and Data Frames","/swirl-matrices-and-data-frames/"
108,"R Basics","swirl Part 8 - Logic","/swirl-logic/"
109,"R Basics","swirl Part 9 - Functions","/swirl-functions/"
110,"R Basics","swirl Part 10 - lapply and sapply","/swirl-lapply-and-sapply/"
115,"R Basics","swirl Part 11 - vapply and tapply","/swirl-vapply-and-tapply/"
116,"R Basics","swirl Part 12 - Looking at Data","/swirl-looking-at-data/"
117,"R Basics","swirl Part 13 - Simulation","/swirl-simulation/"
118,"R Basics","swirl Part 14 - Dates and Times","/swirl-dates-and-times/"
119,"Data Visualization","swirl Part 15 -  Base Graphics","/swirl-base-graphics/"
132,"Data Visualization","swirl Part 16 - Base Plotting System","/swirl-base-plotting-system/"
122,"Stats","swirl Part 17 - Exploratory Graphs","/swirl-exploratory-graphs/"
133,"Tidyverse","dplyr","/sb-dplyr/"
127,"Tidyverse","Piping and Summarizing","/sb-piping-and-summarizing/"
130,"Stats","Correlation and Linear Regression","/sb-correlation-and-linear-regression/"
113,"Stats","Exact Test of Goodness-of-Fit","/sb-exact-test-of-goodness-of-fit/"
138,"Stats","Chi Square Test of Goodness-of-Fit","/sb-chi-square-goodness-of-fit/"
129,"Stats","One-Sample t Test","/sb-one-sample-t-test/"
128,"Stats","Two-Sample t Test","/sb-two-sample-t-test/"
120,"Stats","Introduction to Bayes's Theorem","/sb-introduction-to-bayes-theorem/"
111,"Stats","One-Way ANOVA","/sb-one-way-anova/"
114,"Stats","Kruskal-Wallis Test","/sb-kruskal-wallis/"
131,"Stats","Paired t Test","/sb-paired-t-test/"
150,"HPC","High Performance Computing","/ic-high-performance-computing/"
180,"Genomics","Genomic Variant Basics","/ic-genomic-variant-basics/"
134,"Data Visualization","swirl Part 18 - ggplot2 Part 1","/swirl-ggplot2-part-1/"
135,"Data Visualization","swirl Part 19 - ggplot2 Part 2","/swirl-ggplot2-part-2/"
136,"Data Visualization","swirl Part 20 - ggplot2 Extras","/swirl-ggplot2-extras/"
137,"Data Visualization","swirl Principles of Analytic Graphs","/swirl-principles-of-analytic-graphs/"
140,"Tidyverse","Pivoting to Make Wide Data Longer","/sb-pivot-longer/"
151,"Machine Learning","Play with a Neural Net","/sb-play-with-a-neural-net/"
139,"Stats","Reassessing p Values","/sb-reassessing-p-values/"
145,"Markdown","Introduction to R Markdown","/sb-introduction-to-r-markdown/"
152,"Data","Date Pairing in R","/sb-date-pairing-in-r/"
